id,mz,rt,ms1_isotopes,hyuA_UA_1,hyuA_UA_2,hyuA_UA_3,WT_UA_1,WT_UA_2,WT_UA_3
43.0178@4.943,43.0178,4.943,43.01777:11184 44.02112:0 45.02448:6848,30667,30948,30120,28344,27638,28581
45.0334@4.942,45.0334,4.942,45.03339:6695 46.03674:409 47.0401:0,19052,16036,18015,17337,16850,15274
55.0539@4.564,55.0539,4.564,55.05389:30018 56.05724:32499 57.0606:1593,87663,81496,84551,99256,82603,84896
56.0495@4.565,56.0495,4.565,56.04947:30186 57.05282:1593 58.05618:0,95074,90846,91821,102096,97639,92711
58.0651@5.338,58.0651,5.338,58.06514:646741 59.06849:21948 60.07185:310,1346193,1919512,2157400,2001754,1526747,996237
59.049@4.566,59.049,4.566,59.04903:7317 60.05238:607 61.05574:0,17684,18423,16824,20596,19368,16449
60.0805@3.232,60.0805,3.232,60.08053:16215 61.08388:777 62.08724:0,68187,58581,55334,70007,65930,64435
64.0156@0.776,64.0156,0.776,64.01556:40141 65.01891:1063 66.02227:0,142766,137766,133671,142187,135668,131809
64.0157@5.402,64.0157,5.402,64.01574:183082 65.01909:4813 66.02245:0,1221488,144204,41020,422559,68638,1492170
64.0158@5.163,64.0158,5.163,64.01578:128899 65.01913:3340 66.02249:0,127246,457122,94285,121385,285726,351748
64.0158@5.321,64.0158,5.321,64.01579:255525 65.01914:6283 66.0225:0,850504,83889,68678,422559,1364798,1278513
69.0335@4.942,69.0335,4.942,69.03346:13540 70.03681:671 71.04017:0,37547,36879,34722,33287,32856,34508
71.0853@0.661,71.0853,0.661,71.0853:3107 72.08865:352 73.09201:0,477,176,180,259,8730,157
72.0809@4.901,72.0809,4.901,72.08089:77411 73.08424:4369 74.0876:0,175855,185241,177392,145538,182711,148325
73.0648@1.481,73.0648,1.481,73.06477:4996 74.06812:0 75.07148:0,17826,15817,16620,16902,16569,16712
82.0649@4.566,82.0649,4.566,82.06487:5433 83.06822:0 84.07158:956,16383,16052,15807,18193,16091,17199
83.0488@4.565,83.0488,4.565,83.0488:21285 84.05215:1598 85.05551:0,67840,64081,62274,72248,66054,67164
86.0599@4.942,86.0599,4.942,86.05988:135988 87.06323:0 88.06659:11724,376683,374432,370040,344624,339284,338285
86.0962@4.124,86.0962,4.124,86.09623:9730 87.09958:651 88.10294:407,25595,25090,25034,23855,26709,24896
87.0439@4.942,87.0439,4.942,87.04394:304523 88.04729:11724 89.05065:1518,838590,799831,834094,759485,725210,739371
89.1074@7.392,89.1074,7.392,89.10741:4607 90.11076:262 91.11412:0,24357,22146,21690,19111,20174,17189
90.0546@0.894,90.0546,0.894,90.05456:11240 91.05791:739 92.06127:0,31769,35971,36454,41974,36732,41609
90.0549@0.78,90.0549,0.78,90.05493:6771 91.05828:0 92.06164:0,15314,16854,21495,17511,18968,20136
90.9766@5.391,90.9766,5.391,90.97659:127453 91.97994:2245 92.9833:797,380824,7807,3484,8073,8279,766576
90.9766@5.163,90.9766,5.163,90.97662:60766 91.97997:897 92.98333:308,79969,313043,17834,17188,27909,360909
90.9767@5.312,90.9767,5.312,90.97665:158300 91.98:2100 92.98336:588,396342,6539,967,2176,359339,711321
93.0576@6.754,93.0576,6.754,93.05756:3144 94.06091:0 95.06427:0,13496,432,1191,1225,1078,94
98.984@6.77,98.984,6.77,98.98402:16076 99.98737:0 100.99073:0,327,825,306,661,627,156088
99.0553@3.963,99.0553,3.963,99.05527:4537 100.05862:0 101.06198:430,14905,14310,15844,12846,12733,13014
100.0753@4.566,100.0753,4.566,100.07531:322538 101.07866:0 102.08202:46452,1032168,977155,989296,1089975,1007537,1002437
100.0754@4.702,100.0754,4.702,100.07536:14083 101.07871:0 102.08207:2409,59350,53534,51759,49737,45952,63369
100.112@4.27,100.112,4.27,100.11198:29262 101.11533:2193 102.11869:3342,75812,75901,71981,78024,85285,72019
101.0594@4.563,101.0594,4.563,101.05936:854831 102.06271:46452 103.06607:3784,2708316,2574500,2651416,2832044,2687010,2613040
104.0703@0.781,104.0703,0.781,104.07034:8508 105.07369:994 106.07705:0,17460,29179,24783,14301,19080,20628
104.0704@5.056,104.0704,5.056,104.07035:29450 105.0737:2052 106.07706:0,123446,195140,137436,122787,122116,135354
104.0704@5.669,104.0704,5.669,104.07035:22431 105.0737:1252 106.07706:212,124521,38919,99802,129022,127906,89250
104.0707@5.337,104.0707,5.337,104.07069:1780876 105.07404:92687 106.0774:10412,3924425,5309750,6046056,5801236,4331550,2842193
111.0549@4.486,111.0549,4.486,111.05486:4603 112.05821:0 113.06157:0,18204,18878,17570,14848,18485,16693
111.0551@3.916,111.0551,3.916,111.05508:20755 112.05843:5323 113.06179:504,58773,68903,60476,49093,59914,67474
111.0551@4.163,111.0551,4.163,111.05511:33149 112.05846:1779 113.06182:3400,127501,142124,208676,154487,192119,211006
111.0552@4.058,111.0552,4.058,111.05515:37187 112.0585:1622 113.06186:14176,271125,270284,257289,231403,141368,277265
111.0552@4.309,111.0552,4.309,111.05519:20519 112.05854:1477 113.0619:655,85496,91558,85736,66938,77856,91310
