id,mz,rt,ms1_isotopes,hyuA_13CUA_1,hyuA_13CUA_2,hyuA_13CUA_3,WT_13CUA_1,WT_13CUA_2,WT_13CUA_3
43.0178@4.943,43.0178,4.943,43.01778:11412 44.02113:584 45.02449:6487,29616,29296,30404,27668,28470,28381
45.0332@4.943,45.0332,4.943,45.0332:6667 46.03655:0 47.03991:0,17605,16577,14560,16719,14660,15283
55.054@4.565,55.054,4.565,55.05402:28488 56.05737:33782 57.06073:900,84495,83577,84000,90816,87586,93336
56.0494@4.564,56.0494,4.564,56.04944:31029 57.05279:900 58.05615:0,92747,94968,94528,99565,96691,104809
58.0651@5.336,58.0651,5.336,58.06511:671662 59.06846:26602 60.07182:728,1341615,1786101,1522363,2057190,2240093,2114298
59.049@4.565,59.049,4.565,59.04897:6914 60.05232:0 61.05568:0,15800,16239,19320,18852,19319,19143
60.0807@3.234,60.0807,3.234,60.08066:16445 61.08401:1182 62.08737:0,59326,64659,66005,63605,62179,69624
64.0156@0.777,64.0156,0.777,64.01558:39006 65.01893:1181 66.02229:0,131581,138121,140495,137710,126998,135854
64.0157@5.32,64.0157,5.32,64.0157:171045 65.01905:3287 66.02241:0,1609458,288928,1151569,210235,73670,42115
69.0334@4.944,69.0334,4.944,69.03342:13481 70.03677:677 71.04013:0,32746,35555,36731,33880,33567,32311
72.0808@4.901,72.0808,4.901,72.08083:73546 73.08418:3105 74.08754:216,179076,152558,157770,144009,166159,138194
73.0647@1.483,73.0647,1.483,73.06469:5477 74.06804:512 75.0714:205,17633,19133,18457,17895,15764,17486
74.0871@4.901,74.0871,4.901,74.08708:4516 75.09043:0 76.09379:0,72,81,172,8299,10995,9420
82.0643@4.566,82.0643,4.566,82.06428:5340 83.06763:0 84.07099:1298,17503,15845,16934,17994,16273,17761
83.0489@4.565,83.0489,4.565,83.04891:21332 84.05226:1201 85.05562:0,66575,66632,65027,67909,67553,69762
86.0599@4.942,86.0599,4.942,86.05994:136248 87.06329:0 88.06665:13868,378911,366112,375500,348162,338848,350605
86.0963@4.126,86.0963,4.126,86.09633:10073 87.09968:294 88.10304:380,27314,25324,25117,23913,25211,24366
87.044@4.942,87.044,4.942,87.04398:295231 88.04733:16914 89.05069:791,811432,788686,813101,738352,725051,758277
89.1069@7.394,89.1069,7.394,89.10693:4245 90.11028:0 91.11364:0,23309,21964,19445,12402,12570,16888
90.0543@0.777,90.0543,0.777,90.05433:6648 91.05768:250 92.06104:0,16763,16745,15965,20734,18931,12803
90.0548@0.895,90.0548,0.895,90.05479:10954 91.05814:1045 92.0615:233,31223,32433,33027,40524,39477,24653
90.9766@5.379,90.9766,5.379,90.97656:28707 91.97991:0 92.98327:0,146007,10271,167399,2922,1343,3582
90.9766@5.301,90.9766,5.301,90.97657:102982 91.97992:1431 92.98328:590,339614,5487,113963,15445,1480,5485
90.9766@5.162,90.9766,5.162,90.97663:69351 91.97998:844 92.98334:358,466483,85377,84022,19889,42251,23917
98.9839@6.831,98.9839,6.831,98.98394:8244 99.98729:0 100.99065:0,74638,70573,733,17459,867,110
99.0546@3.964,99.0546,3.964,99.05465:4824 100.058:219 101.06136:344,14853,14712,15982,12474,13918,12942
100.0751@4.701,100.0751,4.701,100.07512:14425 101.07847:0 102.08183:2198,61492,58428,53470,59236,52668,44048
100.0754@4.565,100.0754,4.565,100.07544:317454 101.07879:0 102.08215:48799,980952,994404,1002012,1034766,1017165,1076182
